🕘️更新时间,#genre#
天龙八部,https://vip1.lz-cdn1.com/20230217/20640_9eee7111/index.m3u8
鹿鼎记,http://43.138.0.72:35455/yy/1382736920
魔幻手机,http://live.nctv.top/huya.php?id=11352966
喜剧,http://183.220.107.138:4022/rtp/239.10.0.143:5140
喜剧,http://live.nctv.top/douyu.php?id=9286868
喜剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=10298856
喜剧,http://lxajh.top/tv/douyu.php?id=10298856
喜剧,http://tnvcn.com:8012/rtp/239.3.1.91:4120
喜剧,http://114.254.33.252:18888/rtp/239.3.1.91:4120
喜剧,http://115.171.80.57:1688/rtp/225.1.8.251:4120
喜剧,http://115.171.216.120:4000/rtp/225.1.8.251:4120
喜剧,http://183.220.107.138:4022/rtp/239.10.0.132:5140
恐怖,https://vip1.lz-cdn1.com/20220522/6355_f18c186b/index.m3u8
恐怖,http://222.186.39.21:35466/douyu/2337939
恐怖,https://vip1.lz-cdn1.com/20220502/4081_6ecdec7e/index.m3u8
恐怖,https://vip1.lz-cdn1.com/20230808/21699_2413bbe5/index.m3u8
恐怖,https://vip1.lz-cdn1.com/20220524/6512_81110c53/index.m3u8
恐怖,http://129.150.54.232:10001/douyu/2337939
恐怖,https://vip1.lz-cdn1.com/20220522/6368_2344f2d9/index.m3u8
恐怖,https://vip1.lz-cdn1.com/20230808/21700_a6c58e51/index.m3u8
恐怖,https://vip1.lz-cdn1.com/20230809/21714_732986a0/index.m3u8
恐怖,https://vip1.lz-cdn1.com/20220522/6336_1958e9bd/index.m3u8

🏛其他,#genre#
日本,https://fcxqxf.hhphxz.com/20240707/4sifhnuu/index.m3u8
日本,https://djfdsu.hhphxz.com/20231130/t7QX2rNW/index.m3u8
日本,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
日本,http://79060965569m.megogo.xyz/iptv/SQNLRPBE7FFE8V/6225/index.m3u8
日本,http://mydsat85.cbilant.com/iptv/E2DFKS2LWK569Q/6225/index.m3u8
日本,http://unikhtxl.ottclub.xyz/iptv/74SQ72P5LQUZV5/6225/index.m3u8
韩国,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩国,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
